announcement_id,announced_date,title,url,fetched_at,http_status,sha256,n_bytes,body_chars,extraction_status
4556787,2026-07-27,"Contracts for July 27, 2026",https://www.war.gov/News/Contracts/Contract/Article/4556787/contracts-for-july-27-2026/,2026-09-01 18:34:57,200,e7ebc6454577f48b644a3dd00c4ddf6cf40ee408f3e5325eb4bbde193500b380,125059,9954,extracted
4555477,2026-07-24,"Contracts for July 24, 2026",https://www.war.gov/News/Contracts/Contract/Article/4555477/contracts-for-july-24-2026/,2026-09-01 18:34:58,200,f26bae12e1b2a9706386d2843b901617c8b3b1837d977396ba5a3a806c36c6fe,122808,7764,extracted
4554053,2026-07-23,"Contracts for July 23, 2026",https://www.war.gov/News/Contracts/Contract/Article/4554053/contracts-for-july-23-2026/,2026-09-01 18:34:58,200,60a4d8cb4af9377c78c8020b61500aab3955fc269800c72c7241d2c1e1d6507f,130529,15339,extracted
4552684,2026-07-22,"Contracts for July 22, 2026",https://www.war.gov/News/Contracts/Contract/Article/4552684/contracts-for-july-22-2026/,2026-09-01 18:34:59,200,ff5456fb157307199a244ab5582ad238c86e16b394b4fd7900e65eba23e2f8aa,128540,13360,extracted
4551533,2026-07-21,"Contracts for July 21, 2026",https://www.war.gov/News/Contracts/Contract/Article/4551533/contracts-for-july-21-2026/,2026-09-01 18:34:59,200,250300f8af81fa09dfb88d7b1e51de371cc7e055bdd282391b2fff9e8279a981,124918,9822,extracted
4550330,2026-07-20,"Contracts for July 20, 2026",https://www.war.gov/News/Contracts/Contract/Article/4550330/contracts-for-july-20-2026/,2026-09-01 18:35:00,200,bf8d24c377fd886a9167bf7e6c1c21f094010cbb8a83e295c81e580ded62ef80,126697,11640,extracted
4549225,2026-07-17,"Contracts for July 17, 2026",https://www.war.gov/News/Contracts/Contract/Article/4549225/contracts-for-july-17-2026/,2026-09-01 18:35:01,200,c70f9c381269503319fc94afe5abd513cd23cae5a43f6486a2b9b2a077200603,126598,11561,extracted
4547947,2026-07-16,"Contracts for July 16, 2026",https://www.war.gov/News/Contracts/Contract/Article/4547947/contracts-for-july-16-2026/,2026-09-01 18:35:01,200,69f3f70f1914c0424338f1ecbcdc3e26110db4978066d1e4c7a4914a04e0fd36,125880,10758,extracted
4546541,2026-07-15,"Contracts for July 15, 2026",https://www.war.gov/News/Contracts/Contract/Article/4546541/contracts-for-july-15-2026/,2026-09-01 18:35:02,200,5d1b0cf7aedab792ffc361536bbb717d2942514bee7c1c5fc2aa044812fac987,131764,15487,extracted
4545450,2026-07-14,"Contracts for July 14, 2026",https://www.war.gov/News/Contracts/Contract/Article/4545450/contracts-for-july-14-2026/,2026-09-01 18:35:02,200,9a4b844df5dda3e2a2391e0b45ee3894d36b5ba97068c5b9a4da2c6d67939772,123481,8360,extracted
4542809,2026-07-13,"Contracts for July 13, 2026",https://www.war.gov/News/Contracts/Contract/Article/4542809/contracts-for-july-13-2026/,2026-09-01 18:35:03,200,8eb6f22bd049bf59144fe1a1d12a6f8448de0379df69588a1e56060b12a53fcc,124488,9407,extracted
4540411,2026-07-10,"Contracts for July 10, 2026",https://www.war.gov/News/Contracts/Contract/Article/4540411/contracts-for-july-10-2026/,2026-09-01 18:35:04,200,7d2c412691ebb4dd4ea7da835b78372cb6189428034453a5515e7e0e2af46471,124894,9786,extracted
4539526,2026-07-09,"Contracts for July 9, 2026",https://www.war.gov/News/Contracts/Contract/Article/4539526/contracts-for-july-9-2026/,2026-09-01 18:35:04,200,39a54ec8941b9741ce66b124181ae475e09364d8c76ba548cc05fce3a8f433d7,128886,13700,extracted
4538357,2026-07-08,"Contracts for July 8, 2026",https://www.war.gov/News/Contracts/Contract/Article/4538357/contracts-for-july-8-2026/,2026-09-01 18:35:05,200,d04fe111d06167675f28800742d9c2b265a8a5cd71865a1f2c3b41c794e65db5,125355,10181,extracted
4535071,2026-07-07,"Contracts for July 7, 2026",https://www.war.gov/News/Contracts/Contract/Article/4535071/contracts-for-july-7-2026/,2026-09-01 18:35:06,200,405218e06d36058be7ed9e8951b878bbb246995ccc8e73cbe2ef2ab2ee6ae783,120721,5730,extracted
4533905,2026-07-06,"Contracts for July 6, 2026",https://www.war.gov/News/Contracts/Contract/Article/4533905/contracts-for-july-6-2026/,2026-09-01 18:35:06,200,f4c24b62224e34ca54995c55cf4a1b250f353b5b643d3df812da1e4ac45e6bde,123622,7533,extracted
4532515,2026-07-02,"Contracts for July 2, 2026",https://www.war.gov/News/Contracts/Contract/Article/4532515/contracts-for-july-2-2026/,2026-09-01 18:35:07,200,8f5402c97e68a296bf63e5b3336e0a72d4f7685d397aa4b939aa90d0d1030619,128205,12111,extracted
4531882,2026-07-01,"Contracts for July 1, 2026",https://www.war.gov/News/Contracts/Contract/Article/4531882/contracts-for-july-1-2026/,2026-09-01 18:35:07,200,02540ae28766054492212b395ad220d2c5a9b89586eec18ee353e60b0a9d0f13,125087,9927,extracted
4530662,2026-06-30,"Contracts for June 30, 2026",https://www.war.gov/News/Contracts/Contract/Article/4530662/contracts-for-june-30-2026/,2026-09-01 18:35:08,200,18f35ceae7354371bd65fc996bfc31f7d53a49bb2b4719b2dd876183624422fe,134163,18927,extracted
4529481,2026-06-29,"Contracts for June 29, 2026",https://www.war.gov/News/Contracts/Contract/Article/4529481/contracts-for-june-29-2026/,2026-09-01 18:35:09,200,b959389bff1f05a3a404305ca73999b47bf8f219f045ba8ecd278170e416355b,135700,19778,extracted
4528154,2026-06-26,"Contracts for June 26, 2026",https://www.war.gov/News/Contracts/Contract/Article/4528154/contracts-for-june-26-2026/,2026-09-01 18:35:09,200,ba5bfb7c20d9f9152314823bf5e8f3afa2e57dd56c6cc14c38e005991df75dc5,134851,19656,extracted
4527010,2026-06-25,"Contracts for June 25, 2026",https://www.war.gov/News/Contracts/Contract/Article/4527010/contracts-for-june-25-2026/,2026-09-01 18:35:10,200,b89b82a8799ea7687bbf16b1143169f945c599f0bf8377e3648acdddd5575714,135201,19847,extracted
4525817,2026-06-24,"Contracts for June 24, 2026",https://www.war.gov/News/Contracts/Contract/Article/4525817/contracts-for-june-24-2026/,2026-09-01 18:35:11,200,a478a3cecb3ddb6854c47fa1665ab508f673d08b8926993fb9fd4a19c0ef17cf,130855,14868,extracted
4524437,2026-06-23,"Contracts for June 23, 2026",https://www.war.gov/News/Contracts/Contract/Article/4524437/contracts-for-june-23-2026/,2026-09-01 18:35:11,200,311b33f270f3ceb37e57c1c1fc66d8ce76ca5722418eb4c2cc94d4caf7a584e8,131312,16107,extracted
4523515,2026-06-22,"Contracts for June 22, 2026",https://www.war.gov/News/Contracts/Contract/Article/4523515/contracts-for-june-22-2026/,2026-09-01 18:35:12,200,3fc086e75ea251598c3d9626e0cb0e73f3bba574895011b7a02b6f9e6e8aab7a,122781,7711,extracted
